full_size,compressed,compression_t,decompression_t,res_type,sample_id,tissue,ratio
3174620305,374628537,13.84,11.49,bus,GSM3439989,lung,8.474048267711117
3174620305,374628585,20.55,14.12,bus,GSM4080089,lung,8.474047181957564
3169320849,376034717,16.95,11.73,bus,ERS3861827,skin,8.428266608691878
3138678961,374324989,16.54,11.36,bus,CRX118015,blood,8.384903635167142
3129765425,367971125,19.03,14.91,bus,GSM3273570,kidney,8.505464729059923
3125869265,361322593,18.91,13.33,bus,GSM3396183,bone_marrow,8.651186849530884
3103064945,389793761,21.41,14.02,bus,GSM3755692,peritoneal,7.960786588885398
3086175761,417827401,22.35,14.87,bus,GSM4769387,lung,7.386245501405017
3081410737,369063361,17.42,11.83,bus,GSM4142870,lung,8.349272950451454
3071010577,368180369,13.61,9.48,bus,ERS3861845,liver,8.341049212756914
3054283857,370313005,12.82,8.54,bus,GSM3439926,lung,8.247843893573222
3052484689,356841309,12.83,8.65,bus,FCA7511886,placenta,8.554179720823745
3042026321,374559629,14.11,15.88,bus,GSM3755699,peritoneal,8.121607577201011
3034554737,349493313,12.09,9.8,bus,ERS3861831,yolk_sac,8.682726175650748
2979980241,348260993,15.41,10.35,bus,ERX2756727,blood,8.556744226017871
2971329873,357319909,15.07,10.39,bus,GSM3739217,bone_marrow,8.315601225007589
2965207153,377262773,20.2,15.39,bus,GSM3755691,peritoneal,7.85979260402669
2940768145,341623777,18.28,11.81,bus,ERS3861781,kidney,8.608206872556181
2929489489,354029157,18.28,16.84,bus,GSM3954955,stomach,8.274712494937246
2920449105,342980617,16.11,10.63,bus,ERS3861795,liver,8.51491005685607
2906055569,393436685,19.19,11.01,bus,GSM3178785,liver,7.386336047946317
2895166257,347689509,12.63,8.75,bus,ERX2756723,placenta,8.326872632213933
2867006769,333973177,11.95,8.6,bus,ERS3861833,yolk_sac,8.58454201248623
2862517841,365050765,14.05,9.53,bus,GSM3360833,brain,7.841424030435877
2858023377,343653093,12.32,9.1,bus,CRX102292,blood,8.316594365702391
2846595825,328072809,11.17,7.98,bus,ERS3861772,kidney,8.676719761313715
2846595825,328072801,11.16,7.87,bus,ERS3861791,liver,8.676719972894064
2845918833,342843649,15.49,11.15,bus,CRX102289,blood,8.300923296379919
2842532945,343564941,12.6,9.14,bus,GSM3755690,peritoneal,8.273640892246918
2823057073,333223173,13.27,8.68,bus,GSM3396170,bone_marrow,8.471971044462745
2800663665,339416181,12.02,8.23,bus,GSM3377671,kidney,8.251414699053491
2789237937,339133985,11.54,7.8,bus,GSM3439927,lung,8.224589868219784
2788906161,318943133,11.36,9.57,bus,ERS3861834,yolk_sac,8.744211341900877
2784008945,334531153,15.16,9.95,bus,GSM3954958,stomach,8.322121632121958
2780996113,339788129,12.55,8.16,bus,ERS3861841,liver,8.18450050384191
2779365873,335697673,14.95,9.66,bus,CRX102291,blood,8.279371876968597
2775510481,323946933,11.45,8.38,bus,ERS3861771,kidney,8.567793666995453
2768518609,348633205,15.85,9.89,bus,GSM2928380,testis,7.941064044659774
2743982353,347328069,16.01,10.07,bus,GSM3587009,ileum,7.900260871228348
2734370577,330386945,15.07,9.94,bus,GSM3535279,lymph_node,8.27626702078074
2715868689,333328769,14.94,12.36,bus,GSM3516947,mammary,8.147717633697559
2707509585,329874813,14.61,9.39,bus,GSM3535280,lymph_node,8.207688123797436
